eta,code,p_th,kappa,d_star,n,n_err,n_lo,n_hi,n_points
0.5,css,0.00686970483114417,0.5,25,1249,0.0,1249.0,1249.0,232
1.0,css,0.006599846498301933,0.5,25,1249,0.0,1249.0,1249.0,248
10.0,css,0.006055828821361238,0.5,27,1457,0.0,1457.0,1457.0,248
30.0,css,0.005988651516315759,0.5,27,1457,0.0,1457.0,1457.0,240
100.0,css,0.005986479028503853,0.5,27,1457,0.0,1457.0,1457.0,240
inf,css,0.005972519411088943,0.5,27,1457,0.0,1457.0,1457.0,240
0.5,xzzx,0.007213839456408949,0.5,25,1249,0.0,1249.0,1249.0,264
1.0,xzzx,0.007863806810847513,0.5,23,1057,0.0,1057.0,1057.0,248
10.0,xzzx,0.012295350338135783,0.5,19,721,0.0,721.0,721.0,184
30.0,xzzx,0.015100724940097794,0.5,19,721,0.0,721.0,721.0,176
100.0,xzzx,0.01791549977024791,0.5,17,577,0.0,577.0,577.0,160
inf,xzzx,0.021828205356483447,0.5,17,577,0.0,577.0,577.0,232
